,city,college,heightFt,heightIn,location,player,position,rank,rate,school,score,state,weight,year
0,New Orleans,USC,6,1,"New Orleans, LA, united states of america",Joe McKnight,RB,1,5,John Curtis,0.9997,LA,193,2007
1,Thousand Oaks,Notre Dame,6,3,"Thousand Oaks, CA, united states of america",Jimmy Clausen,PRO,2,5,Oaks Christian,0.9988,CA,200,2007
2,Fairburn,Tennessee,6,0,"Fairburn, GA, united states of america",Eric Berry,CB,3,5,Creekside,0.9986,GA,195,2007
3,Washington,North Carolina,6,3,"Washington, DC, united states of america",Marvin Austin,DT,4,5,Ballou,0.9979,DC,310,2007
4,Texarkana,Michigan,6,6,"Texarkana, TX, united states of america",Ryan Mallett,PRO,5,5,Texas High,0.9978,TX,220,2007
5,Anaheim,USC,6,3,"Anaheim, CA, united states of america",Chris Galippo,ILB,6,5,Servite,0.9975,CA,235,2007
6,Thousand Oaks,USC,6,0,"Thousand Oaks, CA, united states of america",Marc Tyler,RB,7,5,Oaks Christian,0.9970,CA,215,2007
7,Hempstead,LSU,6,4,"Hempstead, TX, united states of america",Terrance Toliver,WR,8,5,Hempstead,0.9965,TX,198,2007
8,Avondale,USC,6,4,"Avondale, AZ, united states of america",Everson Griffen,SDE,9,5,Agua Fria,0.9960,AZ,265,2007
9,North Fort Myers,West Virginia,5,8,"North Fort Myers, FL, united states of america",Noel Devine,RB,10,5,North Fort Myers,0.9957,FL,175,2007
10,Grand Prairie,Texas,6,4,"Grand Prairie, TX, united states of america",Tray Allen,OG,11,5,South Grand Prairie,0.9948,TX,305,2007
11,Washington,Illinois,6,2,"Washington, DC, united states of america",Arrelious Benn,WR,12,5,Dunbar,0.9937,DC,205,2007
12,Milwaukee,Wisconsin,6,7,"Milwaukee, WI, united states of america",Josh Oglesby,OT,13,5,Saint Francis,0.9936,WI,335,2007
13,North Charleston,Florida,6,7,"North Charleston, SC, united states of america",Carlos Dunlap,SDE,14,5,Fort Dorchester,0.9935,SC,260,2007
14,Chicago,Illinois,6,4,"Chicago, IL, united states of america",Martez Wilson,WDE,15,5,Simeon,0.9926,IL,230,2007
15,Muskegon,USC,6,0,"Muskegon, MI, united states of america",Ronald Johnson,CB,16,5,Muskegon,0.9923,MI,177,2007
16,Hampton,Virginia Tech,6,2,"Hampton, VA, united states of america",Tyrod Taylor,DUAL,17,5,Hampton,0.9914,VA,185,2007
17,Ponte Vedra Beach,Florida,6,4,"Ponte Vedra Beach, FL, united states of america",James Wilson,OT,18,5,Nease,0.9896,FL,325,2007
18,Orange,USC,6,4,"Orange, CA, united states of america",Aaron Corp,PRO,19,5,Orange Lutheran,0.9884,CA,185,2007
19,Seffner,Florida,6,4,"Seffner, FL, united states of america",Torrey Davis,DT,20,5,Armwood,0.9878,FL,285,2007
20,Mansfield,Texas,5,1,"Mansfield, TX, united states of america",John Chiles,ATH,21,5,Mansfield,0.9875,TX,195,2007
21,Cincinnati,Tennessee,6,5,"Cincinnati, OH, united states of america",Ben Martin,SDE,22,5,La Salle,0.9874,OH,251,2007
22,Belle Glade,Florida,5,11,"Belle Glade, FL, united states of america",Deonte Thompson,WR,23,5,Glades Central,0.9872,FL,200,2007
23,Chatham,North Carolina,6,5,"Chatham, VA, united states of america",Dwight Jones,WR,24,5,Hugh M Cummings,0.9866,VA,210,2007
24,Littleton,Colorado,6,7,"Littleton, CO, united states of america",Ryan Miller,OT,25,5,Columbine,0.9859,CO,289,2007
25,Atlanta,Florida,6,5,"Atlanta, GA, united states of america",Cam Newton,DUAL,26,5,Westlake,0.9850,GA,235,2007
26,Gilmer,Texas,6,0,"Gilmer, TX, united states of america",Curtis Brown,CB,27,5,Gilmer,0.9849,TX,174,2007
27,Cincinnati,Ohio State,6,2,"Cincinnati, OH, united states of america",Eugene Clifford,S,28,5,Colerain,0.9849,OH,190,2007
28,Long Beach,Michigan,6,0,"Long Beach, CA, united states of america",Donovan Warren,CB,29,5,Polytechnic,0.9845,CA,175,2007
29,Ocala,Florida,6,3,"Ocala, FL, united states of america",John Brantley,PRO,30,5,Trinity Catholic,0.9842,FL,220,2007
30,Hoboken,Notre Dame,6,5,"Hoboken, NJ, united states of america",Duval Kamara,WR,31,5,Hoboken,0.9834,NJ,209,2007
31,Mobile,Auburn,6,2,"Mobile, AL, united states of america",Michael McNeil,S,32,4,WP Davidson,0.9818,AL,200,2007
32,Enid,Oklahoma,6,3,"Enid, OK, united states of america",Austin Box,OLB,33,4,Enid,0.9817,OK,215,2007
33,Norcross,Georgia,5,11,"Norcross, GA, united states of america",Caleb King,RB,34,4,Greater Atlanta Christian School,0.9816,GA,217,2007
34,Bristol,Florida,6,4,"Bristol, CT, united states of america",Aaron Hernandez,TE,35,4,Bristol Central,0.9814,CT,235,2007
35,Cheraw,South Carolina,6,4,"Cheraw, SC, united states of america",Cliff Matthews,WDE,36,4,Cheraw,0.9812,SC,268,2007
36,Westlake Village,USC,6,0,"Westlake Village, CA, united states of america",Marshall Jones,S,37,4,Oaks Christian,0.9811,CA,185,2007
37,Garner,South Carolina,6,1,"Garner, NC, united states of america",Chris Culliver,CB,38,4,Garner,0.9810,NC,201,2007
38,Huntingdon,Tennessee,6,2,"Huntingdon, TN, united states of america",Chris Donald,OLB,39,4,Huntingdon,0.9808,TN,220,2007
39,Bastrop,LSU,6,2,"Bastrop, LA, united states of america",DeAngelo Benton,WR,40,4,Bastrop,0.9802,LA,203,2007
40,Tucson,USC,6,5,"Tucson, AZ, united states of america",Kristofer O'Dowd,OG,41,4,Salpointe Catholic,0.9797,AZ,315,2007
41,Darien,Miami,6,4,"Darien, GA, united states of america",Allen Bailey,SDE,42,4,Mcintosh County Academy,0.9793,GA,255,2007
42,Fort Lauderdale,Florida,6,1,"Fort Lauderdale, FL, united states of america",Major Wright,S,43,4,St. Thomas Aquinas,0.9788,FL,200,2007
43,Columbia,Notre Dame,5,11,"Columbia, SC, united states of america",Gary Gray,CB,44,4,Richland Northeast,0.9787,SC,163,2007
44,Lakeland,Florida,5,9,"Lakeland, FL, united states of america",Chris Rainey,RB,45,4,Lakeland,0.9787,FL,183,2007
45,Dallas,Oklahoma State,6,3,"Dallas, TX, united states of america",Richetti Jones,SDE,46,4,Lincoln,0.9786,TX,234,2007
46,Rogers,Auburn,6,7,"Rogers, AR, united states of america",Lee Ziemba,OT,47,4,Rogers,0.9783,AR,295,2007
47,Lufkin,Oklahoma State,6,1,"Lufkin, TX, united states of america",Dez Bryant,WR,48,4,Lufkin,0.9783,TX,200,2007
48,Indianapolis,Florida,6,2,"Indianapolis, IN, united states of america",Jerimy Finch,S,49,4,Warren Central,0.9782,IN,205,2007
49,West Bloomfield,Florida State,5,1,"West Bloomfield, MI, united states of america",Dionte Allen,CB,50,4,St. Mary's,0.9781,MI,175,2007
750,Hoover,Alabama,6,4,"Hoover, AL, united states of america",Kerry Murphy,DT,51,4,Hoover,0.9771,AL,319,2007
751,Tatum,Tennessee,6,1,"Tatum, TX, united states of america",Lennon Creer,RB,52,4,Lawrence Free State,0.9765,TX,200,2007
752,Huntington Beach,USC,6,5,"Huntington Beach, CA, united states of america",Martin Coleman,OT,53,4,Edison,0.9762,CA,290,2007
753,Gardena,USC,6,4,"Gardena, CA, united states of america",DaJohn Harris,DT,54,4,Junipero Serra,0.9761,CA,270,2007
754,Piscataway,Rutgers,6,5,"Piscataway, NJ, united states of america",Anthony Davis,OT,55,4,Piscataway Twp,0.9760,NJ,330,2007
755,Tampa,South Carolina,6,2,"Tampa, FL, united states of america",Stephen Garcia,PRO,56,4,Jefferson,0.9759,FL,227,2007
756,Cherry Hill,Notre Dame,6,4,"Cherry Hill, NJ, united states of america",Mike Ragone,TE,57,4,Camden Catholic,0.9758,NJ,221,2007
757,Tulsa,Notre Dame,6,6,"Tulsa, OK, united states of america",Matt Romine,OT,58,4,Union,0.9751,OK,285,2007
758,Racine,Wisconsin,6,1,"Racine, WI, united states of america",John Clay,RB,59,4,Park,0.9751,WI,225,2007
759,Batesville,Ole Miss,6,3,"Batesville, MS, united states of america",Chris Strong,SDE,60,4,South Panola,0.9730,MS,250,2007
760,Detroit,LSU,6,6,"Detroit, MI, united states of america",Joseph Barksdale,DT,61,4,Cass Technical,0.9721,MI,325,2007
761,Kilgore,Texas,6,5,"Kilgore, TX, united states of america",Michael Huey,OG,62,4,Kilgore,0.9716,TX,290,2007
762,Columbia,Georgia,6,4,"Columbia, MO, united states of america",Aron White,TE,63,4,Rock Bridge,0.9713,MO,213,2007
763,Woodstock,Iowa,6,5,"Woodstock, IL, united states of america",Bryan Bulaga,OT,64,4,Marian Central Catholic,0.9703,IL,270,2007
764,Plano,Texas,6,3,"Plano, TX, united states of america",Keenan Robinson,OLB,65,4,Plano,0.9700,TX,211,2007
765,Harrisonville,Missouri,6,5,"Harrisonville, MO, united states of america",Michael Keck,WDE,66,4,Harrisonville,0.9697,MO,215,2007
766,Beaumont,Texas,6,1,"Beaumont, TX, united states of america",Ben Wells,CB,67,4,Ozen,0.9695,TX,185,2007
767,Oklahoma City,Tennessee,6,0,"Oklahoma City, OK, united states of america",Gerald Jones,WR,68,4,Millwood,0.9689,OK,195,2007
768,Duncan,Clemson,6,2,"Duncan, SC, united states of america",Willy Korn,DUAL,69,4,Byrnes,0.9677,SC,200,2007
769,Garland,Texas,6,3,"Garland, TX, united states of america",Malcolm Williams,WR,70,4,Garland,0.9672,TX,205,2007
770,Mobile,LSU,6,4,"Mobile, AL, united states of america",Sidell  Corley Jr. ,SDE,71,4,McGill Toolen,0.9666,AL,250,2007
771,Coatesville,Georgia Tech,6,4,"Coatesville, PA, united states of america",Derrick Morgan,SDE,72,4,Coatesville Area,0.9655,PA,260,2007
