PLAYER,FIRST_NAME,LAST_NAME,POS,YEAR,RNK,STAR,247_SCORE,COLLEGE,CITY,STATE,LAT,LNG,HIGH_SCHOOL
Joe McKnight,Joe,McKnight,RB,2007,1,5,0.9997,USC,New Orleans,LA,30.03280175,-89.97500545,John Curtis
Lionel Breaux,Lionel,Breaux,WR,2007,305,3,0.8795,Ole Miss,New Orleans,LA,30.03280175,-89.97500545,McDonogh 35
Korey Williams,Korey,Williams,ILB,2007,519,3,0.8559,Southern Miss,New Orleans,LA,30.03280175,-89.97500545,Edna Karr
Tyler Stradford,Tyler,Stradford,WR,2007,523,3,0.8559,Oklahoma,New Orleans,LA,30.03280175,-89.97500545,O Perry Walker
Delvin Breaux,Delvin,Breaux,CB,2007,665,3,0.8479,LSU,New Orleans,LA,30.03280175,-89.97500545,McDonogh 35
Jonathan English,Jonathan,English,DT,2007,675,3,0.8479,Arizona State,New Orleans,LA,30.03280175,-89.97500545,John Curtis
Terrence Moore,Terrence,Moore,DT,2007,704,3,0.8444,Nebraska,New Orleans,LA,30.03280175,-89.97500545,John Mcdonogh Senior
Alex Williams,Alex,Williams,OT,2007,710,3,0.8434,Oklahoma,New Orleans,LA,30.03280175,-89.97500545,O Perry Walker
Colby Arceneaux,Colby,Arceneaux,CB,2007,1409,2,0.7889,Ole Miss,New Orleans,LA,30.03280175,-89.97500545,John Curtis
Preston Numa,Preston,Numa,DT,2007,1636,2,0.7667,Purdue,New Orleans,LA,30.03280175,-89.97500545,John Curtis
Jared Berry,Jared,Berry,S,2007,1777,2,0.7444,Louisiana-Monroe,New Orleans,LA,30.03280175,-89.97500545,Edna Karr
Lamont Simmons,Lamont,Simmons,ILB,2007,1838,2,0.7444,Tulane,New Orleans,LA,30.03280175,-89.97500545,O Perry Walker
Theo Smith,Theo,Smith,ILB,2007,1930,2,0.7222,Louisiana-Monroe,New Orleans,LA,30.03280175,-89.97500545,Jesuit
Antoine Duplessis,Antoine,Duplessis,FB,2007,1972,2,0.7222,Tulane,New Orleans,LA,30.03280175,-89.97500545,Holy Cross
Andrew Nierman,Andrew,Nierman,OG,2007,2015,2,0.7222,Tulane,New Orleans,LA,30.03280175,-89.97500545,John Curtis
Lincston Jones,Lincston,Jones,ILB,2007,2062,2,0.7222,Louisiana-Monroe,New Orleans,LA,30.03280175,-89.97500545,John Curtis
Robby Green,Robby,Green,CB,2008,281,4,0.8958,Alabama,New Orleans,LA,30.03280175,-89.97500545,John Curtis
P.J. Smith,P.J.,Smith,S,2008,542,3,0.867,Nebraska,New Orleans,LA,30.03280175,-89.97500545,John Curtis
Alex Lauricella,Alex,Lauricella,CB,2008,1854,2,0.7444,Tulane,New Orleans,LA,30.03280175,-89.97500545,John Curtis
Derreck Dean,Derreck,Dean,DT,2008,1871,2,0.7444,Louisiana-Lafayette,New Orleans,LA,30.03280175,-89.97500545,McDonogh 35
Tyrone Duplessis,Tyrone,Duplessis,APB,2009,652,3,0.8639,Louisiana Tech,New Orleans,LA,30.03280175,-89.97500545,O Perry Walker
Kenny Cain,Kenny,Cain,RB,2009,798,3,0.8559,TCU,New Orleans,LA,30.03280175,-89.97500545,John Curtis
Joey Fontana,Joey,Fontana,OG,2009,820,3,0.8556,SMU,New Orleans,LA,30.03280175,-89.97500545,Brother Martin
Kendrick James,Kendrick,James,OLB,2009,971,3,0.8497,Louisiana Tech,New Orleans,LA,30.03280175,-89.97500545,O Perry Walker
Torell Miller,Torell,Miller,S,2009,990,3,0.8479,Kansas State,New Orleans,LA,30.03280175,-89.97500545,O Perry Walker
Deron Wilson,Deron,Wilson,CB,2009,1083,3,0.8417,Southern Miss,New Orleans,LA,30.03280175,-89.97500545,O Perry Walker
Payten Jason,Payten,Jason,RB,2009,1388,3,0.8212,Tulane,New Orleans,LA,30.03280175,-89.97500545,Jesuit
Mike Henry,Mike,Henry,SDE,2009,1392,3,0.8212,Tulane,New Orleans,LA,30.03280175,-89.97500545,John Curtis
Shane Delery,Shane,Delery,DT,2009,1435,3,0.8163,Tulane,New Orleans,LA,30.03280175,-89.97500545,Jesuit
Cornelius Lucas,Cornelius,Lucas,OT,2009,1492,3,0.8111,Kansas State,New Orleans,LA,30.03280175,-89.97500545,Edna Karr
Jordan Sullen,Jordan,Sullen,ATH,2009,1744,2,0.7889,Tulane,New Orleans,LA,30.03280175,-89.97500545,Edna Karr
Shakiel Smith,Shakiel,Smith,CB,2009,1753,2,0.7889,Tulane,New Orleans,LA,30.03280175,-89.97500545,Edna Karr
Kyle White,Kyle,White,DT,2009,2110,2,0.7444,North Texas,New Orleans,LA,30.03280175,-89.97500545,McDonogh 35
Ronnie Vinson,Ronnie,Vinson,ATH,2010,216,4,0.9158,LSU,New Orleans,LA,30.03280175,-89.97500545,Isidore Newman
Tyrann Mathieu,Tyrann,Mathieu,CB,2010,223,4,0.9132,LSU,New Orleans,LA,30.03280175,-89.97500545,St. Augustine
Munchie Legaux,Munchie,Legaux,DUAL,2010,513,3,0.8733,Cincinnati,New Orleans,LA,30.03280175,-89.97500545,Edna Karr
Walker Ashburn,Walker,Ashburn,SDE,2010,751,3,0.8622,Nebraska,New Orleans,LA,30.03280175,-89.97500545,John Curtis
Urell Johnson,Urell,Johnson,CB,2010,816,3,0.859,Texas Tech,New Orleans,LA,30.03280175,-89.97500545,O Perry Walker
Karl Butler,Karl,Butler,CB,2010,871,3,0.8559,Vanderbilt,New Orleans,LA,30.03280175,-89.97500545,Brother Martin
Harold Legania,Harold,Legania,DT,2010,1202,3,0.8448,Minnesota,New Orleans,LA,30.03280175,-89.97500545,Edna Karr
Dwayne Mitchell,Dwayne,Mitchell,OLB,2010,1371,3,0.8368,Minnesota,New Orleans,LA,30.03280175,-89.97500545,Edna Karr
Jonathan McKnight,Jonathan,McKnight,CB,2010,1583,3,0.8278,Arizona,New Orleans,LA,30.03280175,-89.97500545,John Curtis
Luke Charpentier,Luke,Charpentier,OG,2010,1624,3,0.8238,Arkansas,New Orleans,LA,30.03280175,-89.97500545,John Curtis
Keenan Canty,Keenan,Canty,WR,2010,1667,3,0.8194,Colorado,New Orleans,LA,30.03280175,-89.97500545,Edna Karr
Marice Sutton,Marice,Sutton,S,2010,2165,2,0.7667,SMU,New Orleans,LA,30.03280175,-89.97500545,St. Augustine
Joseph Theard,Joseph,Theard,DT,2010,2274,2,0.7667,SMU,New Orleans,LA,30.03280175,-89.97500545,St. Augustine
Lawrence Cayou,Lawrence,Cayou,WDE,2010,2346,2,0.7667,Texas Tech,New Orleans,LA,30.03280175,-89.97500545,McDonogh 35
