Year,Rnd,Pick,Tm,Player,Pos,Age,To,College/Univ
2014,1,1,HOU,Jadeveon Clowney\ClowJa00,DE,21,2017,South Carolina
2014,1,2,STL,Greg Robinson\RobiGr01,T,21,2017,Auburn
2014,1,3,JAX,Blake Bortles\BortBl00,QB,22,2017,Central Florida
2014,1,4,BUF,Sammy Watkins\WatkSa00,WR,21,2017,Clemson
2014,1,5,OAK,Khalil Mack\MackKh00,LB,23,2017,Buffalo
2014,1,6,ATL,Jake Matthews\MattJa00,T,22,2017,Texas A&M
2014,1,7,TAM,Mike Evans\EvanMi00,WR,21,2017,Texas A&M
2014,1,8,CLE,Justin Gilbert\GilbJu00,DB,22,2016,Oklahoma St.
2014,1,9,MIN,Anthony Barr\BarrAn00,LB,22,2017,UCLA
2014,1,10,DET,Eric Ebron\EbroEr00,TE,21,2017,North Carolina
2014,1,11,TEN,Taylor Lewan\LewaTa00,T,23,2017,Michigan
2014,1,12,NYG,Odell Beckham\BeckOd00,WR,21,2017,LSU
2014,1,13,STL,Aaron Donald\DonaAa00,DT,23,2017,Pittsburgh
2014,1,14,CHI,Kyle Fuller\FullKy00,DB,22,2017,Virginia Tech
2014,1,15,PIT,Ryan Shazier\ShazRy00,LB,22,2017,Ohio St.
2014,1,16,DAL,Zack Martin\MartZa00,G,23,2017,Notre Dame
2014,1,17,BAL,C.J. Mosley\MoslC.00,LB,22,2017,Alabama
2014,1,18,NYJ,Calvin Pryor\PryoCa00,DB,22,2017,Louisville
2014,1,19,MIA,Ja'Wuan James\JameJa01,T,22,2017,Tennessee
2014,1,20,NOR,Brandin Cooks\CookBr00,WR,21,2017,Oregon St.
2014,1,21,GNB,Ha Ha Clinton-Dix\ClinHa00,DB,21,2017,Alabama
2014,1,22,CLE,Johnny Manziel\ManzJo00,QB,21,2015,Texas A&M
2014,1,23,KAN,Dee Ford\FordDe00,LB,23,2017,Auburn
2014,1,24,CIN,Darqueze Dennard\DennDa00,DB,22,2017,Michigan St.
2014,1,25,SDG,Jason Verrett\VerrJa00,DB,23,2017,TCU
2014,1,26,PHI,Marcus Smith\SmitMa03,LB,22,2017,Louisville
2014,1,27,ARI,Deone Bucannon\BucaDe00,DB,22,2017,Washington St.
2014,1,28,CAR,Kelvin Benjamin\BenjKe00,WR,23,2017,Florida St.
2014,1,29,NWE,Dominique Easley\EaslDo00,DT,22,2016,Florida
2014,1,30,SFO,Jimmie Ward\WardJi01,DB,23,2017,Northern Illinois
2014,1,31,DEN,Bradley Roby\RobyBr00,DB,22,2017,Ohio St.
2014,1,32,MIN,Teddy Bridgewater\BridTe00,QB,21,2017,Louisville
2014,2,33,HOU,Xavier Su'a-Filo\Sua-Xa00,G,23,2017,UCLA
2014,2,34,DAL,Demarcus Lawrence\LawrDe00,DE,22,2017,Boise St.
