PLAYER,POS_CFB,YEAR_RECRUITED,RNK_RECRUITED,STAR,247_SCORE,COLLEGE_CFB,HOME_CITY,HOME_STATE,LAT,LNG,YEAR_DRAFTED,DRAFT_RND,DRAFT_PICK,NFL_TEAM,POS_NFL,COLLEGE_NFL
Joe McKnight,RB,2007,1,5,0.9997,USC,New Orleans,LA,30.03280175,-89.97500545,2010,4,112,NYJ,RB,USC
Tyrann Mathieu,CB,2010,223,4,0.9132,LSU,New Orleans,LA,30.03280175,-89.97500545,2013,3,69,ARI,DB,LSU
Trai Turner,OG,2011,355,3,0.8765,LSU,New Orleans,LA,30.03280175,-89.97500545,2014,3,92,CAR,OL,LSU
Deion Jones,OLB,2012,378,3,0.8899,LSU,New Orleans,LA,30.03280175,-89.97500545,2016,2,52,ATL,OLB,LSU
Lorenzo Doss,ATH,2012,1123,3,0.8354,Tulane,New Orleans,LA,30.03280175,-89.97500545,2015,5,164,DEN,CB,Tulane
Jimmy Clausen,PRO,2007,2,5,0.9988,Notre Dame,Thousand Oaks,CA,34.17142715,-118.9105877,2010,2,48,CAR,QB,Notre Dame
Casey Matthews,ILB,2007,347,3,0.8764,Oregon,Thousand Oaks,CA,34.17142715,-118.9105877,2011,4,116,PHI,LB,Oregon
Cassius Marsh,DT,2010,118,4,0.9441,UCLA,Thousand Oaks,CA,34.17142715,-118.9105877,2014,4,108,SEA,DE,UCLA
Jordan Payton,WR,2012,135,4,0.9427,UCLA,Thousand Oaks,CA,34.17142715,-118.9105877,2016,5,154,CLE,WR,UCLA
Eric Berry,CB,2007,3,5,0.9986,Tennessee,Fairburn,GA,33.5670562,-84.5810418,2010,1,5,KAN,DB,Tennessee
Joshua Holsey,CB,2012,157,4,0.9358,Auburn,Fairburn,GA,33.5670562,-84.5810418,2017,7,235,WAS,DB,Auburn
Marvin Austin,DT,2007,4,5,0.9979,North Carolina,Washington,DC,38.8949549,-77.0366456,2011,2,52,NYG,DT,North Carolina
