Rnd,Pick,Tm,Player,Pos,Age,To,College/Univ
1,1,CLE,Myles Garrett\GarrMy00,DE,21,2017,Texas A&M
1,2,CHI,Mitch Trubisky\TrubMi00,QB,23,2017,North Carolina
1,3,SFO,Solomon Thomas\ThomSo00,DE,21,2017,Stanford
1,4,JAX,Leonard Fournette\FourLe00,RB,22,2017,LSU
1,5,TEN,Corey Davis\DaviCo03,WR,22,2017,West. Michigan
1,6,NYJ,Jamal Adams\AdamJa00,S,21,2017,LSU
1,7,LAC,Mike Williams\WillMi07,WR,22,2017,Clemson
1,8,CAR,Christian McCaffrey\McCaCh01,RB,21,2017,Stanford
1,9,CIN,John Ross\RossJo00,WR,22,2017,Washington
1,10,KAN,Patrick Mahomes\MahoPa00,QB,22,2017,Texas Tech
1,11,NOR,Marshon Lattimore\LattMa01,CB,21,2017,Ohio St.
1,12,HOU,Deshaun Watson\WatsDe00,QB,22,2017,Clemson
1,13,ARI,Haason Reddick\ReddHa00,LB,23,2017,Temple
1,14,PHI,Derek Barnett\BarnDe01,DE,21,2017,Tennessee
1,15,IND,Malik Hooker\HookMa00,S,21,2017,Ohio St.
1,16,BAL,Marlon Humphrey\HumpMa00,CB,21,2017,Alabama
1,17,WAS,Jonathan Allen\AlleJo01,DE,22,2017,Alabama
1,18,TEN,Adoree' Jackson\JackAd00,CB,22,2017,USC
1,19,TAM,O.J. Howard\HowaO.00,TE,22,2017,Alabama
1,20,DEN,Garett Bolles\BollGa00,T,25,2017,Utah
1,21,DET,Jarrad Davis\DaviJa01,LB,21,2017,Florida
1,22,MIA,Charles Harris\HarrCh03,OLB,22,2017,Missouri
1,23,NYG,Evan Engram\EngrEv00,TE,23,2017,Mississippi
1,24,OAK,Gareon Conley\ConlGa00,CB,22,2017,Ohio St.
1,25,CLE,Jabrill Peppers\PeppJa00,S,21,2017,Michigan
1,26,ATL,Takkarist McKinley\McKiTa00,DE,21,2017,UCLA
1,27,BUF,TreDavious White\WhitTr01,CB,22,2017,LSU
1,28,DAL,Taco Charlton\CharTa00,DE,22,2017,Michigan
1,29,CLE,David Njoku\NjokDa00,TE,21,2017,Miami (FL)
1,30,PIT,T.J. Watt\WattT.00,OLB,22,2017,Wisconsin
1,31,SFO,Reuben Foster\FostRe00,LB,23,2017,Alabama
1,32,NOR,Ryan Ramczyk\RamcRy00,T,23,2017,Wisconsin
2,33,GNB,Kevin King\KingKe01,CB,22,2017,Washington
2,34,JAX,Cam Robinson\RobiCa00,T,21,2017,Alabama
2,35,SEA,Malik McDowell\McDoMa00,DT,21,,Michigan St.
2,36,ARI,Budda Baker\BakeBu00,S,21,2017,Washington
2,37,BUF,Zay Jones\JoneZa00,WR,22,2017,East Carolina
2,38,LAC,Forrest Lamp\LampFo00,G,23,,West. Kentucky
2,39,NYJ,Marcus Maye\MayeMa00,S,24,2017,Florida
2,40,CAR,Curtis Samuel\SamuCu00,WR,21,2017,Ohio St.
2,41,MIN,Dalvin Cook\CookDa01,RB,22,2017,Florida St.
2,42,NOR,Marcus Williams\WillMa08,S,21,2017,Utah
2,43,PHI,Sidney Jones\JoneSi00,CB,21,2017,Washington
2,44,LAR,Gerald Everett\EverGe00,TE,23,2017,South Alabama
2,45,CHI,Adam Shaheen\ShahAd00,TE,23,2017,Ashland
2,46,IND,Quincy Wilson\WilsQu01,CB,21,2017,Florida
2,47,BAL,Tyus Bowser\BowsTy00,OLB,22,2017,Houston
2,48,CIN,Joe Mixon\MixoJo00,RB,21,2017,Oklahoma
2,49,WAS,Ryan Anderson\AndeRy00,OLB,23,2017,Alabama
2,50,TAM,Justin Evans\EvanJu00,S,22,2017,Texas A&M
2,51,DEN,DeMarcus Walker\WalkDe03,DE,23,2017,Florida St.
2,52,CLE,DeShone Kizer\KizeDe00,QB,21,2017,Notre Dame
2,53,DET,Teez Tabor\TaboTe00,CB,21,2017,Florida
2,54,MIA,Raekwon McMillan\McMiRa02,LB,20,,Ohio St.
2,55,NYG,Dalvin Tomlinson\TomlDa00,DT,23,2017,Alabama
2,56,OAK,Obi Melifonwu\MeliOb00,S,23,2017,Connecticut
2,57,HOU,Zach Cunningham\CunnZa00,LB,22,2017,Vanderbilt
2,58,SEA,Ethan Pocic\PociEt00,C,22,2017,LSU
2,59,KAN,Tanoh Kpassagnon\KpasTa00,DE,23,2017,Villanova
2,60,DAL,Chidobe Awuzie\AwuzCh00,CB,22,2017,Colorado
2,61,GNB,Josh Jones\JoneJo06,S,23,2017,North Carolina St.
2,62,PIT,JuJu Smith-Schuster\SmitJu00,WR,20,2017,USC
2,63,BUF,Dion Dawkins\DawkDi00,G,23,2017,Temple
2,64,CAR,Taylor Moton\MotoTa00,G,23,2017,West. Michigan
3,65,CLE,Larry Ogunjobi\OgunLa00,DT,23,2017,Charlotte
3,66,SFO,Ahkello Witherspoon\WithAh00,CB,22,2017,Colorado
3,67,NOR,Alvin Kamara\KamaAl00,RB,22,2017,Tennessee
3,68,JAX,Dawuane Smoot\SmooDa00,DE,22,2017,Illinois
3,69,LAR,Cooper Kupp\KuppCo00,WR,24,2017,East. Washington
3,70,MIN,Pat Elflein\ElflPa00,C,23,2017,Ohio St.
3,71,LAC,Dan Feeney\FeenDa00,G,23,2017,Indiana
3,72,TEN,Taywan Taylor\TaylTa00,WR,22,2017,West. Kentucky
3,73,CIN,Jordan Willis\WillJo09,OLB,22,2017,Kansas St.
3,74,BAL,Chris Wormley\WormCh00,DE,23,2017,Michigan
3,75,ATL,Duke Riley\RileDu00,LB,23,2017,LSU
3,76,NOR,Alex Anzalone\AnzaAl00,LB,23,2017,Florida
3,77,CAR,Daeshon Hall\HallDa01,DE,22,2017,Texas A&M
3,78,BAL,Tim Williams\WillTi00,OLB,23,2017,Alabama
3,79,NYJ,ArDarius Stewart\StewAr00,WR,23,2017,Alabama
3,80,IND,Tarell Basham\BashTa00,DE,23,2017,Ohio
3,81,WAS,Fabian Moreau\MoreFa00,CB,23,2017,UCLA
3,82,DEN,Carlos Henderson\HendCa01,WR,22,,Louisiana Tech
3,83,NWE,Derek Rivers\RiveDe00,DE,23,,Youngstown St.
3,84,TAM,Chris Godwin\GodwCh00,WR,21,2017,Penn St.
3,85,NWE,Antonio Garcia\GarcAn00,T,23,,Troy
3,86,KAN,Kareem Hunt\HuntKa00,RB,22,2017,Toledo
3,87,NYG,Davis Webb\WebbDa00,QB,22,,California
3,88,OAK,Eddie Vanderdoes\VandEd00,DT,22,2017,UCLA
3,89,HOU,D'Onta Foreman\ForeDO00,RB,21,2017,Texas
3,90,SEA,Shaquill Griffin\GrifSh00,DB,22,2017,Central Florida
3,91,LAR,John Johnson\JohnJo10,S,21,2017,Boston Col.
3,92,DAL,Jourdan Lewis\LewiJo01,CB,22,2017,Michigan
3,93,GNB,Montravius Adams\AdamMo00,DT,22,2017,Auburn
3,94,PIT,Cameron Sutton\SuttCa00,CB,22,2017,Tennessee
